component 0,component 1,component 2,请选择使用模式,flag,username,timestamp
文章内容是什么,F:\2023project\git\langchain-ChatGLM-master\langchain-ChatGLM-master\vector_store\test,F:\2023project\git\langchain-ChatGLM-master\langchain-ChatGLM-master\flagged\component 2\tmpjxwz84vw.json,知识库测试,,d861daed2d67490abc6f07d376bdbfcf,2023-06-06 02:35:42.522432
关于火,F:\2023project\git\langchain-ChatGLM-master\langchain-ChatGLM-master\vector_store\test,F:\2023project\git\langchain-ChatGLM-master\langchain-ChatGLM-master\flagged\component 2\tmpzfcbazdl.json,知识库测试,,d861daed2d67490abc6f07d376bdbfcf,2023-06-06 02:36:33.087838
关于希望,F:\2023project\git\langchain-ChatGLM-master\langchain-ChatGLM-master\vector_store\test,F:\2023project\git\langchain-ChatGLM-master\langchain-ChatGLM-master\flagged\component 2\tmpar991ahu.json,知识库测试,,d861daed2d67490abc6f07d376bdbfcf,2023-06-06 02:36:47.880738
青春,F:\2023project\git\langchain-ChatGLM-master\langchain-ChatGLM-master\vector_store\test,F:\2023project\git\langchain-ChatGLM-master\langchain-ChatGLM-master\flagged\component 2\tmpq3902d9b.json,知识库测试,,d861daed2d67490abc6f07d376bdbfcf,2023-06-06 02:37:31.880904
火,F:\2023project\git\langchain-ChatGLM-master\langchain-ChatGLM-master\vector_store\test,F:\2023project\git\langchain-ChatGLM-master\langchain-ChatGLM-master\flagged\component 2\tmprgx_h3a1.json,知识库测试,,8dad759f60c14a03a1fe68a3f2dda2c3,2023-06-06 10:29:38.481615
青春,F:\2023project\git\langchain-ChatGLM-master\langchain-ChatGLM-master\vector_store\test,F:\2023project\git\langchain-ChatGLM-master\langchain-ChatGLM-master\flagged\component 2\tmpvd8qsy1v.json,知识库测试,,8dad759f60c14a03a1fe68a3f2dda2c3,2023-06-06 10:31:08.208218
怎么计算重力,F:\2023project\git\langchain-ChatGLM-master\langchain-ChatGLM-master\vector_store\read,F:\2023project\git\langchain-ChatGLM-master\langchain-ChatGLM-master\flagged\component 2\tmp32t69wuy.json,知识库测试,,f764fbe01f9e4d7193ea3c1c723b31d0,2023-06-06 10:40:36.872374
？,F:\2023project\git\langchain-ChatGLM-master\langchain-ChatGLM-master\vector_store\read,F:\2023project\git\langchain-ChatGLM-master\langchain-ChatGLM-master\flagged\component 2\tmpjvdvsmbx.json,知识库测试,,f764fbe01f9e4d7193ea3c1c723b31d0,2023-06-06 10:43:34.624323
重力加速,F:\2023project\git\langchain-ChatGLM-master\langchain-ChatGLM-master\vector_store\read,F:\2023project\git\langchain-ChatGLM-master\langchain-ChatGLM-master\flagged\component 2\tmp22jca30q.json,知识库测试,,c5ff2242d2be41dfabf84e7bb834a5ca,2023-06-06 11:43:23.025398
你好,F:\2023project\git\langchain-ChatGLM-master\langchain-ChatGLM-master\vector_store\新建知识库,F:\2023project\git\langchain-ChatGLM-master\langchain-ChatGLM-master\flagged\component 2\tmppcl6uuou.json,LLM 对话,,1415b958917e4641b824025b6a7707d2,2023-06-07 10:31:29.337995
能量,F:\2023project\git\langchain-ChatGLM-master\langchain-ChatGLM-master\vector_store\read,F:\2023project\git\langchain-ChatGLM-master\langchain-ChatGLM-master\flagged\component 2\tmpkg64a475.json,知识库测试,,1415b958917e4641b824025b6a7707d2,2023-06-07 10:32:02.845323
中午吃披萨健康吗,F:\2023project\git\langchain-ChatGLM-master\langchain-ChatGLM-master\vector_store\新建知识库,F:\2023project\git\langchain-ChatGLM-master\langchain-ChatGLM-master\flagged\component 2\tmp15xijrjb.json,知识库问答,,fb844b34d3fc40839b468b88056b1ae4,2023-06-07 11:41:46.503742
